position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Chiquita Presentes e Utilidades,ChIJIeKe_l7RrgARxbTux9hGQhw,0xaed15efe9ee221:0x1c4246d8c7eeb4c5,2036267878406075589,/g/11hzjhr7_q,5,1,Loja de Roupa,"Loja de Roupa, Loja de Brinquedos",clothing_store,"Avenida Governador José de Magalhães Pinto, 247 - Centro, Datas - MG, 39130-000, Brasil",-18.445371299999998,-43.658533399999996,,https://instagram.com/rosiane_reisg?utm_medium=copy_link,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Compras na loja,,,https://lh3.googleusercontent.com/p/AF1QipNYN07fZpe4g3yBlZj2Z_odUdyg8C0XNy0cfw-s=w163-h92-k-no,https://serpapi.com/images/url/VVjIB3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF-lnYJ4WVZBqkm5c6ZQTlWUUFZ-fEppSmW7hbBDhV2mQnFauW2xbbmhmrJthaaSbrZuXDwCn9yFX,https://serpapi.com/search.json?data_id=0xaed15efe9ee221%3A0x1c4246d8c7eeb4c5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed15efe9ee221%3A0x1c4246d8c7eeb4c5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIeKe_l7RrgARxbTux9hGQhw,"Datas, MG",lojas_presentes,2025-07-28T19:50:48.706983,COMPLETA
2,Artesanato Valmir Divino Espirito Santo Madeira,ChIJ397r1XnRrgAR5NIxhDTXIMU,0xaed179d5ebdedf:0xc520d7348431d2e4,14204589845282673380,/g/11qpxqgj6q,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Cristais, 133, Datas - MG, 39130-000, Brasil",-18.4546377,-43.6565083,,,,,,,,,Cartão de crédito,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr2q59zG3NqgBKVw7eUXT0kv-2MRYYN4LtAAlRzvLxJLH2yK2SaI3TAHXOC_7wSI6fE3rk1BxvpLTKQ6tKnV-oIelmjDbuKCkeG5UWPi8rlIj9QYm0_LFbmAkN8ooVHpRcsv-8F=w80-h142-k-no,https://serpapi.com/images/url/nWX6zXicBcHtFoEwAADQJ5qyQjnHj8lH2YQk-uXQmWJrS5uK9_MQ3sa9v2-hdaXGhsELq5dLmXP6UrTOpNBU6F4mSyOvFMgUUAby3MIWNXwO3M_SCp_5FCftiB5OsckaANdRmoY20Qjx6NOQbkV8-MZwfwmsGPmnjXcetftgeJtbNetPu6YiMd4NNRYJkAHl5WN2fWGP0eXgcNzenZoHD3eXluaZLK4lYqEjZeJXUaYa4CwmrWOCom9DwICQf1YaQ34,https://serpapi.com/search.json?data_id=0xaed179d5ebdedf%3A0xc520d7348431d2e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed179d5ebdedf%3A0xc520d7348431d2e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ397r1XnRrgAR5NIxhDTXIMU,"Datas, MG",lojas_presentes,2025-07-28T19:50:48.706983,COMPLETA
3,Papelaria Avenida,ChIJKeMLGQDRrgARedGfjZD7g-Q,0xaed100190be329:0xe483fb908d9fd179,16466281260866589049,/g/11vrxw1m0m,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Avenida Doutor José de Magalhães Pinto, 293, Datas - MG, 39130-000, Brasil",-18.4457603,-43.658466,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QAhIYKkyQsHFkMR0ENK5pw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=322.24908&pitch=0&thumbfov=100,https://serpapi.com/images/url/1vHvk3icHc1RCsIgGADg2_iWOivYAokeimIUrLeewjlTmdOfabPdpmt1m6ILfN_nbVKCuCEkplGpNFmVwb6UiwsQWIegnRJgI5ZhIFNBknkOrRfWbUH4YDve7MzpVvdzE4-H_nyl-0u9hoxke5fOKp94VGKUBuv8E8fQYQ0RZV5SZHjF0CwyXzKG2aqiJQKbpOEU_ZdHmHhB6Rdp5TlX,https://serpapi.com/search.json?data_id=0xaed100190be329%3A0xe483fb908d9fd179&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed100190be329%3A0xe483fb908d9fd179&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKeMLGQDRrgARedGfjZD7g-Q,"Datas, MG",lojas_presentes,2025-07-28T19:50:48.707995,COMPLETA
2,Ateliê Arte no Entalhe,ChIJhZ5Y2rvRrgARuGf-AFw671w,0xaed1bbda589e85:0x5cef3a5c00fe67b8,6696635337751291832,/g/11t_k7_n7y,,0,Artesanato,Artesanato,handicraft,"R. Augusto Guedes, 36, Datas - MG, 39130-000, Brasil",-18.4441837,-43.6622596,+55 38 99827-3095,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–18:00,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrRbIcZUJXo0DXABAIdPmnHaT_W54ltGqwgrOZMYtxCXS00LexYl1sgZQQramHFoTcgFCUi9I5dppfHytgzBdgxoU_WBoAn774LT-2QmCHNyeJkF4ExB91AJrLI10iVmR_wWTchuA=w80-h142-k-no,https://serpapi.com/images/url/XdfRDHicBcFRboIwGADgE1WKq1GW7KGwIRB0w8FAXoiW2hppf9bWgLvgzrDb7Pv-fqVzo332vEE-LQSAGPjdcsNAO67dgoHyxGgRs8h6NAok0eZwTllbZQ3g14aGNO0_lE5OZVevyOC235Mw7-3u6Oao-cQ45_Nx8K1oi8KcVBJDyUQcVdcgXfXjeEkeTvyEvZih6uoQqF6vSV6iZaGiZP_g2S0mb3MY-DQzeerj65c6dFNdMnmnL9MGI-mTJbohDf-B00VW,https://serpapi.com/search.json?data_id=0xaed1bbda589e85%3A0x5cef3a5c00fe67b8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed1bbda589e85%3A0x5cef3a5c00fe67b8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhZ5Y2rvRrgARuGf-AFw671w,"Datas, MG",lojas_artesanato,2025-07-28T19:50:51.766997,COMPLETA
3,Ateliê Modelagem Certa,ChIJSUvVjQrRrgAR3UTU3wm67IY,0xaed10a8dd54b49:0x86ecba09dfd444dd,9722350247158760669,/g/11x7pv___2,,0,Artesanato,Artesanato,handicraft,"Avenida Florêncio Marques, 143 A, Datas - MG, 39130-000, Brasil",-18.4474302,-43.6582517,+55 38 98833-2801,https://www.instagram.com/modelagemcerta?igsh=ajY1Zm5raHN4Mzk4,Fechado ⋅ Abre ter. às 13:00,Fechado ⋅ Abre ter. às 13:00,segunda-feira: 13:00–17:00; terça-feira: 13:00–17:00; quarta-feira: 13:00–17:00; quinta-feira: 13:00–17:00; sexta-feira: 13:00–17:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipM5T_V82ljdIjLeZ8-qZEHBPYpDxOWbFtjiEQw=w92-h92-k-no,https://serpapi.com/images/url/VfgcxHicuxmTUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngaxoSH2ZhlJOV4pnlkxploVsY5erhFBBZ4FLhH57kVpKV6RpYbltuaaSbAcTZunn5AFyWIK4,https://serpapi.com/search.json?data_id=0xaed10a8dd54b49%3A0x86ecba09dfd444dd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed10a8dd54b49%3A0x86ecba09dfd444dd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSUvVjQrRrgAR3UTU3wm67IY,"Datas, MG",lojas_artesanato,2025-07-28T19:50:51.766997,COMPLETA
2,Móveis Madureira,ChIJH_OPeQDRrgAR0OhHffDYfQo,0xaed100798ff31f:0xa7dd8f07d47e8d0,755998839873726672,/g/11y3139y1b,5,1,Loja de móveis,Loja de móveis,furniture_store,"Avenida Doutor José de Magalhães Pinto, 447, Datas - MG, 39130-000, Brasil",-18.44743,-43.658251799999995,+55 38 99906-4446,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNLv-L4Z8SzGJ9pek7eR9voGJLM0EMpYHLapjdt=w80-h106-k-no,https://serpapi.com/images/url/hDaW0nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng51Om62MSZRFc5e5lWZCabZ4aZFmW7-7l42vg6lsQ6eGTWJCVUmJbbmGgm2FoYKabrZuXDwCZciEE,https://serpapi.com/search.json?data_id=0xaed100798ff31f%3A0xa7dd8f07d47e8d0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed100798ff31f%3A0xa7dd8f07d47e8d0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH_OPeQDRrgAR0OhHffDYfQo,"Datas, MG",lojas_decoracao,2025-07-28T19:50:54.918324,COMPLETA
4,Ph Flores Desidratadas,ChIJ4wUIaBDXrgARJhCZMov1HCQ,0xaed710680805e3:0x241cf58b32991026,2602224662911455270,/g/11mp9symj_,4.9,38,Loja de flores secas,Loja de flores secas,dried_flower_shop,"R. Carlos Guedes, 10 - centro, Datas - MG, 39130-000, Brasil",-18.442685,-43.658811199999995,+55 38 99959-4372,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Atendimento ótimo e as flores são de excelente qualidade, recomendo!""",https://lh3.googleusercontent.com/p/AF1QipPWXXuwo5WrlKHqIZNDpRwyaZH5qsZMi3zIL1qE=w126-h92-k-no,https://serpapi.com/images/url/4wv9bXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEB4RUVqebxpelOPtUegZ5edSEFRemRjlYVpYHOWbaVzl6WNY6GpbbmhkppthaaSbrZuXDwDCiyHX,https://serpapi.com/search.json?data_id=0xaed710680805e3%3A0x241cf58b32991026&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed710680805e3%3A0x241cf58b32991026&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4wUIaBDXrgARJhCZMov1HCQ,"Datas, MG",lojas_decoracao,2025-07-28T19:50:54.918324,COMPLETA
5,MÓVEIS GOUVEIA,ChIJrag5p13QrgARbpCYnsZhL7c,0xaed05da739a8ad:0xb72f61c69e98906e,13199876538538430574,/g/11lnnystn_,,0,Loja de móveis,Loja de móveis,furniture_store,"Av. J Magalhães Pinto, Datas - MG, 39130-000, Brasil",-18.4471544,-43.658266499999996,,,,,,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ixl9XQFM3ZcCPHzxg3V9WQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=95.050674&pitch=0&thumbfov=100,https://serpapi.com/images/url/bQhUBHicHc1RCsIgGADg2_iWutYqg58egqiHoL1U9BLOmQpOZdpcnaZrdZuiC3zf561TCnFFSEy9lGkwMgczShsngWPlvbKSBxOx8B0ZCpL0o2scN3YduPOmhf1o2aXeHsqr2Bx3r1GVJ3aukWhuwhrpEkTJe6Gxyj-x9y1WIaIMS4o0sCl68gyswrSi88UMBZOEBor-y90PUFD6BV-1OTw,https://serpapi.com/search.json?data_id=0xaed05da739a8ad%3A0xb72f61c69e98906e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed05da739a8ad%3A0xb72f61c69e98906e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrag5p13QrgARbpCYnsZhL7c,"Datas, MG",lojas_decoracao,2025-07-28T19:50:54.918324,COMPLETA
6,Loja Puro Estilo,ChIJtXTSZIzRrgARz9oVVEqf9TQ,0xaed18c64d274b5:0x34f59f4a5415dacf,3816131400853478095,/g/11tx_v6wk2,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"Av. J Magalhães Pinto, 130, Datas - MG, 39130-000, Brasil",-18.4472721,-43.6582783,+55 38 99742-5698,,,,,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npFcMdG7vnOFMWXWEJ5uwBybcNScsa4PROxxTMypNProojkPnN7qLZonfyWEOhVforHEYPJZFYzjXfyUuXBC3UvCz2L1LTgBDRyR6h3WvowffDbTLQNYsppvDGQuJIxRZml9CTs=w80-h142-k-no,https://serpapi.com/images/url/nwYQRHicBcFZEsEwGADgE0XRWmc86IZON1W6vBFNM1T-aLrF_RzCbXzf70ubhou1olRUHZUAZVW0oqgxsKZgzQjDSym5QFggoWyNFdUYt7F33y06FthekiaWM2t7Xd6wf8LiqoVRMAyxJ7kf1gCPZ8j8xdvNgRGZWAG9EKj3VhY6uZ19HimR5zbVDfXcGZ-pO3HjUjcjGc2pmnTQE2LeYvfoZ4LzztwdW-cwRPmrWhmx2PTLMaITbYqeiMEfeP5GjQ,https://serpapi.com/search.json?data_id=0xaed18c64d274b5%3A0x34f59f4a5415dacf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed18c64d274b5%3A0x34f59f4a5415dacf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtXTSZIzRrgARz9oVVEqf9TQ,"Datas, MG",lojas_decoracao,2025-07-28T19:50:54.918324,COMPLETA
8,Frutsul,ChIJaTARI0PQrgARc1VTcwXprgU,0xaed04323113069:0x5aee90573535573,409520825756243315,/g/11cnwf7664,3,2,Loja de produtos naturais,Loja de produtos naturais,health_food_store,"R. Carlos Guedes, 10 - Centro, Datas - MG, 39130-000, Brasil",-18.443371499999998,-43.6596914,+55 38 3535-1119,http://frutsul.com.br/,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_aRpki3h7wQKAJ1EPY3WXDNf4xbRYSE0_RsNZKkKD4ubLjxPNV_2DZJOVhVdo0NJlTSOPgWyo0_ngt9su366Do4sgErlrM3UOxDQpwChXiVGyL-X0EDpkMzOqnSjBjfxdbqPd=w204-h92-k-no,https://serpapi.com/images/url/0-3ohXicBcHdboIwGADQJ6pU2mAw2YWzxAQUEDZEb4j8tQL2q7QE3PvtIfY2O-fvVxij9NayBkFWHIAPzaSbsQJpGmlWFTwtrjSqNNLWbu8KKqG4J6p_ELGZz8HOX3vxlVxyFrZ0KZNr6uEi0eEt6ANGp_LYLXGYFTa7-VEmshpw6A9faRTzyxtwIblx9UQchwHV3BuH8US-o4Wd1bwX-SM7vI8oxx5T_eknesm0--zapS5fcf0x25gi4dqoRxL-Aby_RRE,https://serpapi.com/search.json?data_id=0xaed04323113069%3A0x5aee90573535573&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed04323113069%3A0x5aee90573535573&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaTARI0PQrgARc1VTcwXprgU,"Datas, MG",lojas_decoracao,2025-07-28T19:50:54.918324,COMPLETA
9,MADEIREIRA SILVA,ChIJIyyppODRrgARjeejSOLX2ag,0xaed1e0a4a92c23:0xa8d9d7e248a3e78d,12166993235199387533,/g/11t2cm_7z8,5,1,Loja de madeiras,Loja de madeiras,lumber_store,"R. Mestra Maria Eliza, 790, Datas - MG, 39130-000, Brasil",-18.4558222,-43.6555402,+55 38 99948-7693,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–17:00; terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMRfusTmg_Go_B8zU8BafK8ZZ2hkNwvBFTG34Fi=w80-h106-k-no,https://serpapi.com/images/url/3EdcrnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5RWWhySmx7vnh_vZFEVauGUmOZtERVllJHtV17m5BbibmzilmlbbmGgm2FoYKabrZuXDwCy2yE5,https://serpapi.com/search.json?data_id=0xaed1e0a4a92c23%3A0xa8d9d7e248a3e78d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed1e0a4a92c23%3A0xa8d9d7e248a3e78d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIyyppODRrgARjeejSOLX2ag,"Datas, MG",lojas_decoracao,2025-07-28T19:50:54.918324,COMPLETA
10,Depósito Escarlett - Materiais para Construção,ChIJUfBrGNLRrgARGMUW8A28foI,0xaed1d2186bf051:0x827ebc0df016c518,9403159840044795160,/g/11r9tz6rsg,5,1,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"BR-259, 452, Datas - MG, 39130-000, Brasil",-18.4533371,-43.656338399999996,+55 38 99885-6782,,Fechado ⋅ Abre ter. às 07:30,Fechado ⋅ Abre ter. às 07:30,segunda-feira: 07:30–18:00; terça-feira: 07:30–18:00; quarta-feira: 07:30–18:00; quinta-feira: 07:30–18:00; sexta-feira: 07:30–18:00; sábado: 07:30–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np_CQSyo__Y_zuHkljtdBrInCl_lm3rLzJI0pIfKoWlBKgXdSDAyDqZUKF8Qfcu7-VuyDGrb_hJYBy7W0WuHgoRXZKDy5qHnHVGuNrVLwbvjIi_sOPtFNyENeo_0TYU5lBL2jOK=w122-h92-k-no,https://serpapi.com/images/url/mH2h0HicBcFJDoIwFADQE1UQNQ6JCwEVLMEREDdNRGzF2o8dNPV-HsLb-N7vy7Ru1cRxOOt1KADltVG1rEDoWuhOBQ-HtgpVCilnFoxZX7Qk2O4tEFKSj4nuvNEXX8Yi4IQ_ejL5rGK3ja8YCu5jerzsw5kNn6cML0bba2WGKDc2XMozYavSt8PCLUxEYXc84dAOnpGI8qVJZZ68z68mvhG13uhFaudpDcQ9lNmA-4nXrPH03fU8xMYeuiMBf420Ri8,https://serpapi.com/search.json?data_id=0xaed1d2186bf051%3A0x827ebc0df016c518&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed1d2186bf051%3A0x827ebc0df016c518&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUfBrGNLRrgARGMUW8A28foI,"Datas, MG",lojas_decoracao,2025-07-28T19:50:54.918324,COMPLETA
11,Padaria São Judas Tadeu,ChIJ19DdM8LRrgARUFR8qIsocRc,0xaed1c233ddd0d7:0x1771288ba87c5450,1689175915532932176,/g/11fjqj4sk9,4.6,22,Padaria,Padaria,bakery,"Av. J Magalhães Pinto, 100-144, Datas - MG, 39130-000, Brasil",-18.447268299999998,-43.6582848,+55 38 3535-1051,,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 06:00,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 06:00,segunda-feira: 06:00–20:00; terça-feira: 06:00–20:00; quarta-feira: 06:00–20:00; quinta-feira: 06:00–20:00; sexta-feira: 06:00–20:00; sábado: 06:00–20:00; domingo: 06:30–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Padaria com muita variedade de produtos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no4kxLFlg-q1-6s2YVk0ap8y1WXhb9UDqdOn2_jpzzAqiRaaDjnO8E5YcnfAmpWflATeuV5HkICUCsgThqL6pCy4BX-OGI1KhjA8K_kaP8viHWVkB5eaDtJ9C1VSk8rjCtW8MFN6Q=w80-h142-k-no,https://serpapi.com/images/url/zhIqh3icBcFZEoIgAADQE5Fh6mAzfRC2L7ZqfTVkBIkBBq0X7Azdpvd-X-GcsW3Pq0SrwbXmFbtbdiu0cky5RqGvHjcWFBZYD5NYBEoH8jXtVxzUEETW32eySQ16w3wnjvE2qU-p8g-l-XxwfVlRmpQqRb1wX6gzvpr8XOENu2fhUI7Illi-EfU0MuQddHcgHYzgRJQYTQ6SLtDjMswz2Q0ZTdw4JjBbS3QricvRrD-Plp0nagIBAx9IoPQfUbdEhQ,https://serpapi.com/search.json?data_id=0xaed1c233ddd0d7%3A0x1771288ba87c5450&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed1c233ddd0d7%3A0x1771288ba87c5450&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ19DdM8LRrgARUFR8qIsocRc,"Datas, MG",lojas_decoracao,2025-07-28T19:50:54.918324,COMPLETA
