position,title,place_id,rating,reviews,type,address,phone,website,hours,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo,latitude,longitude
1,Entre Minas Loja Colaborativa,ChIJ18cMJ5mPpgARyMgpuU0HbJs,5,231,Artesanato,"R. Direita, 7 - Tiradentes, MG, 36325-000, Brasil",,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.109225,-44.1770413
2,Santoficio Decoração Criativa,ChIJGyxCt__HoQAR7XmshrImcfY,5,265,Decorador de interiores,"R. Min. Gabriel Passos, 260 - centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99194-5201,http://www.santoficio.art.br/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1085834,-44.1763857
3,Marcas Mineiras Loja e Café,ChIJGdAawqy4oQAR5MBYc-4jk7s,4.8,986,Café,"R. Sra. das Mercês, 49 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1682,http://www.marcasmineiras.com.br/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.109391,-44.173316299999996
4,Solino Artesanato,ChIJs88aCRG_oQARPPojpFXKzjI,4.5,187,Loja de artigos domésticos,"Unnamed Road, 36325-000, Tiradentes - MG, Brasil",,,Fechado ⋅ Abre qua. às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.0994304,-44.146104
5,MeLeva Tiradentes,ChIJO7QNtuy5oQARfVIIdS-w2fM,4.3,15,Loja de souvenires,"R. Resende Costa, 67A - Centro, Tiradentes - MG, 36325-000, Brasil",+55 31 99200-2956,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1105566,-44.174493399999996
6,Criativa Papelaria,ChIJmTmeq1O_oQAR78WhN_wPZus,4.8,88,Papelaria,"R. Alberto Paoluci, nº67 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 98868-6975,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.109317,-44.1704338
7,Detalhe Mineiro,ChIJH7DP7Ku5oQAR_TJNmvl0gEQ,4.4,8,Loja de souvenires,"R. Resende Costa, 76 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99821-2271,,Fechado ⋅ Abre às 09:30,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1107677,-44.174323799999996
8,Romer Resende,ChIJHU7zza24oQARnhTWjGqwQ0s,4.9,18,Loja,"R. Santíssima Trindade, 332 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99906-3332,,Aberto 24 horas,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.112587299999998,-44.1830559
9,Casa das Latas Tiradentes - Loja modelo,ChIJzY3n_lW5oQARemDITn3d9jQ,3.9,87,Loja de presentes,"Largo das Forras, 4 - Centro histórico, Tiradentes - MG, 36325-000, Brasil",+55 32 99831-6509,http://www.casadaslatasoficial.com/,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.110634899999997,-44.1741088
10,Faemam Estanhos - Loja Tiradentes,ChIJl-kQhay4oQARYAPTX7sDJes,4.9,14,Galeria de Arte,"R. Direita, 64 - Tiradentes, MG, 36325-000, Brasil",+55 32 3371-8292,http://faemam.com.br/,,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1097856,-44.1760885
11,Casa das Latas - Tiradentes,ChIJJUMQmJ-5oQARwn4IWX9s4LA,3.8,107,Loja de presentes,"R. Min. Gabriel Passos, 225 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99848-9517,http://www.casadaslatasoficial.com/,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1090396,-44.1760075
12,Baobá Artesanato De Bom Gosto,ChIJofB7p4m5oQARyq9L7oQDKAk,5,2,Loja de presentes,"R. Min. Gabriel Passos, 186 - Tiradentes, MG, 36325-000, Brasil",+55 31 99983-0381,,Fechado ⋅ Abre qua. às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1091882,-44.1756089
13,Maria Fumaça Brinquedos Educativos,ChIJ53wKd6y4oQARcxoU3kSFgVc,4.6,51,Loja de Brinquedos,"R. Direita, 266 A - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1622,,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.110574,-44.175582
14,Integrare Atelier e Loja,ChIJj-6LNxa_oQARRcJ4_jyUbSo,5,17,Loja,"R. Alvarenga Peixoto, 1097 - A, Tiradentes - MG, 36325-000, Brasil",+55 31 99579-2881,https://www.instagram.com/integrareateliereloja?igsh=MXl6d2ZmZTZ4aDBr,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1052516,-44.1551718
15,Juliu's Variedades,ChIJpUycnFO_oQAROJTpcOi-Eoo,4.7,14,Loja de variedades,"R. dos Inconfidentes, 510 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1851,https://www.facebook.com/julius.varie,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1115726,-44.1693664
16,Arte & Tal,ChIJh9oFl6y4oQAR5EfPmXaUs3g,4.4,16,Loja de artigos domésticos,"R. Resende Costa, 8 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1451,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1107598,-44.1749654
17,Loja Ave Maria,ChIJoeetl6y4oQARRSoWBRVv64s,4.6,46,Loja de vestidos,"R. Min. Gabriel Passos, 175 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1598,http://www.avemaria.store/,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.109249,-44.175748999999996
18,Folk Art,ChIJi3qsN_e5oQARJ9sest7Pr5Q,4.6,5,Loja de artigos domésticos,"R. Direita, 10 b - Tiradentes, MG, 36325-000, Brasil",,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.1099206,-44.177973699999995
19,Chico Rei Tiradentes,ChIJyZOgCzK5oQARo3uid2a0XM4,4.9,135,Loja de camisetas,"R. Direita, 232 - Centro, Tiradentes - MG, 36325-000, Brasil",,http://chicorei.com/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.110405099999998,-44.17561
20,Empório Lembranças de Minas Tiradentes,ChIJz6XOq3-5oQARZh9uernaN64,5,2,Artesanato,"R. Min. Gabriel Passos, 81 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 98809-2377,,Fechado ⋅ Abre qui. às 10:00,"Tiradentes, MG",lojas_presentes,2025-07-29T06:04:09.729074,COMPLETA,-21.109913199999998,-44.175042399999995
1,Galeria N.S. do Rosário (Ciart Artesanato),ChIJ1fmAkKy4oQARXR4f45quH1Y,4.8,46,Artesanato,"R. Resende Costa, 28 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1691,,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1107281,-44.174788299999996
4,LJE-tiradentes artesanato em ferro madeira,ChIJJexV_wjBoQARWQY4UWKC52E,5,2,Artesanato,"Tv. Herculano José dos Santos, 52 - alto da torre, Tiradentes - MG, 36325-000, Brasil",+55 32 99995-4636,,Aberto 24 horas,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.117915399999998,-44.1682586
6,Arte Vó Joana,ChIJuSGpOqy4oQAR74PeBzdik4M,4.7,3,Artesanato,"Av. Gov. Israel Pinheiro, 196 - Tiradentes, MG, 36325-000, Brasil",+55 32 3355-1775,,Aberto 24 horas,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1200343,-44.1695096
7,Feira de Artesanato,ChIJdfjRhiG5oQARXrVzpxl-MPw,4,24,Feira de artesanato,"R. Custódio Gomes, 39 - Tiradentes, MG, 36325-000, Brasil",,,Fechado ⋅ Abre sex. às 09:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1090533,-44.174908599999995
8,Mãos de Chica Artesanato,ChIJ1WjE-qW5oQARxsH_N7mx9DA,4.8,4,Artesanato,"R. Min. Gabriel Passos, 160 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 98868-5313,,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1094278,-44.175260699999995
9,Artesanato clebinho,ChIJVSBfKa2_oQARIuxh48UXf4U,4.9,13,Artesanato,"R. Alvarenga Peixoto, 1089 - Capote, Tiradentes - MG, 36325-000, Brasil",+55 32 99961-7021,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1056986,-44.155581999999995
10,-Pães Caseiro Artesanais Tiradentes-Feira dos Produtores -Estação da María Fumaça,ChIJIYYe-fq_oQAR6udI-oUeBKE,5,1,Feira de artesanato,"Av. Gov. Israel Pinheiro, 72 - Tiradentes, MG, 36325-000, Brasil",+55 32 99162-6330,,Fechado ⋅ Abre qui. às 09:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1146834,-44.168067199999996
11,Arte em Dobro,ChIJXzL3B1jHoQARBKmFaT7K-qU,4.7,16,Loja de materiais para artesanato,"R. Alvarenga Peixoto, 970 - Tiradentes, MG, 36325-000, Brasil",+55 32 99117-4034,,Fechado ⋅ Abre às 08:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1063828,-44.1568269
12,Mãos de Fada artesanato tds,ChIJWUkzU_q5oQARhd211ie-hJA,5,6,Artesanato,"Praça das mercês 69 1, R. Min. Gabriel Passos, 131 - loja 2 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99922-8121,,Fechado ⋅ Abre qua. às 10:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1102474,-44.174592
13,Libertas Rosas Artesanato em Ferro,ChIJS3Z0W1O_oQARo6EI4TFj5vQ,4.9,18,Artesanato,"R. dos Inconfidentes, 275 - Tiradentes, MG, 36325-000, Brasil",+55 32 98892-2561,https://www.libertasrosas.com.br/,Fechado ⋅ Abre às 08:30,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.111179699999997,-44.1711965
14,Brasileirinho A Casa de Arte do Brasil,ChIJrdpOpK64oQARmJy3etfls_s,4,8,Loja,"R. Direita, 129 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 98856-7002,https://brasileirinhotiradentes.com.br/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1096993,-44.1761361
15,Vantuil Artesanato,ChIJd-KQVKe4oQAR1G1mBq4UjsA,4.9,7,Loja de artigos domésticos,"R. Frei Veloso, 795 - Tiradentes, MG, 36325-000, Brasil",+55 32 99822-4098,http://vantuil-artesanato9.webnode.com/,Fechado ⋅ Abre às 08:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.111232299999998,-44.1861635
17,Loja JG Móveis e Artesanato,ChIJtS__QEW_oQARUpZLqyC6-RM,5,1,Artesanato,"R. Alvarenga Peixoto, 702 - Tiradentes, MG, 36325-000, Brasil",+55 11 93076-3398,https://www.facebook.com/jg.moveiseartes/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.109138299999998,-44.1615373
18,Minas Arte Própria (móveis Decoração Ferro Madeira Artesanatos Tiradentes Mg ),ChIJkRGHSYu5oQARwSqb6Uq45fc,4.7,9,Loja de móveis rústicos,"R. dos Inconfidentes, 103 B - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 98841-3582,http://www.minasartepropria.com.br/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1111036,-44.172847399999995
20,Moitará Arte Indígena,ChIJ-2eoD0G_oQARlz57vbyDvNk,4.8,54,Galeria de Arte,"Capote (estrada para o Bichinho, R. Alvarenga Peixoto, 1027 - Tiradentes, MG, 36325-000, Brasil",+55 32 98703-1230,http://www.moitara.com.br/,Fechado ⋅ Abre qua. às 09:00,"Tiradentes, MG",lojas_artesanato,2025-07-29T06:04:12.319828,COMPLETA,-21.1061233,-44.1566419
3,Divinas Gerais Móveis Rústicos e Decorações,ChIJidlDErPAoQARKVjgkw19ApM,4.9,54,Loja de móveis,"loja da fábrica -Avenida Governador Israel Pinheiro, 950, R. Direita, 139 - loja 2 - Várzea, Tiradentes - MG, 36325-000, Brasil",+55 32 98861-6584,https://www.instagram.com/divinasgerais,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.1295099,-44.1704662
4,Graziela Guimarães,ChIJu5nWKKy4oQAR7ibkr-5pOho,4.8,12,"Loja de artigos para cama, mesa e banho","R. da Camara, 34 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1410,http://www.grazielaguimaraes.com.br/,Fechado ⋅ Abre às 11:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.1097268,-44.177707299999994
5,Empório Patrícia Barbosa,ChIJL1ozg6y4oQARQv0aHm5_iSA,4.9,16,Loja de móveis,"R. Resende Costa, 48 - Tiradentes, MG, 36325-000, Brasil",+55 32 3355-1158,http://www.emporiopatriciabarbosa.com.br/,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.110818,-44.174606999999995
9,Canto de Casa,ChIJr5L2XAK5oQARsO6ZD0O0LKo,5,7,Loja de artigos domésticos,"Largo das Forras, 04 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 98866-1858,,Fechado ⋅ Abre qua. às 09:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.1106551,-44.174195999999995
11,Carapina Móveis,ChIJvwdqk1W_oQAR3mi3XsgPCRA,5,12,Loja de móveis rústicos,"Av. Gov. Israel Pinheiro, 280 - Estacao, Tiradentes - MG, 36325-000, Brasil",+55 32 98514-2556,http://carapinamoveis.com.br/,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.116409299999997,-44.168541499999996
12,Bendita Santíssima Arte & Móveis Rústicos,ChIJYaID6rzHoQARC0wLgPISGPI,4.8,27,Loja de móveis,"L.go do Ó, 15 C - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99925-8896,http://www.benditasantissimamoveis.com.br/,Fechado ⋅ Abre às 08:30,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.108624799999998,-44.177092599999995
13,Casa da Pedra Decoração,ChIJUwxTVEG_oQARQGYC-yUlGLo,5,2,Loja de pedras,"R. Alvarenga Peixoto, 813 - Tiradentes, MG, 36325-000, Brasil",+55 32 99977-5351,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.106685,-44.158062699999995
14,CASA DE MARIA DECORAÇÕES,ChIJG7IiDwC5oQARGuZjj04Ayok,5,1,Loja de artigos domésticos,"R. Resende Costa, 45 - Tiradentes, MG, 36325-000, Brasil",,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.1106227,-44.174637
15,Silveira moveis,ChIJy64oI7O_oQARgVz3NjVC37k,5,3,Loja de móveis,"Rua padroeiro santo, R. Padroeiro Santo Antônio, 253 - Cascalho, Tiradentes - MG, 36325-000, Brasil",+55 32 99184-4005,,Aberto 24 horas,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.107838299999997,-44.1701134
16,Empório do Ó,ChIJMwvuv1O_oQARN24Htgy6Q2M,4.5,71,Empório gourmet,"R. Direita, 224 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-2315,,Fechado ⋅ Abre às 12:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.110311,-44.1755034
17,Marcenaria Tiradentes,ChIJyeJMUVO_oQAReJUgVtjHVdE,4.8,24,Loja de artigos domésticos,"R. dos Inconfidentes, 233 - Tiradentes, MG, 36325-000, Brasil",+55 32 98418-8641,http://www.marcenariatiradentes.com.br/,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.111017099999998,-44.171575399999995
20,Ó Barroco,ChIJ1e88J6y4oQARoPKkLRjT1t8,5,10,Antiquário,"R. do Chafariz, 54 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 98856-1907,,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",lojas_decoracao,2025-07-29T06:04:14.008629,COMPLETA,-21.1087053,-44.1769196
1,Galeria de Arte Oscar Araripe,ChIJGVMwnq64oQARSmoxUOAlm-c,4.8,11,Galeria de Arte,"R. da Camara, 92 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1148,http://www.oscarararipe.com.br/,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",galerias_arte,2025-07-29T06:04:16.149585,COMPLETA,-21.109433499999998,-44.177427099999996
2,Sergio Ramos Atelier e Galeria de Arte Ltda,ChIJxTRm_Ku4oQARNKVMLaA0KKY,4.9,50,Galeria de Arte,"R. da Camara, 83 - Centro Histórico, Tiradentes - MG, 36325-000, Brasil",+55 32 98707-7914,http://www.atelierdoarquiteto.com.br/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",galerias_arte,2025-07-29T06:04:16.149585,COMPLETA,-21.109413699999998,-44.177526199999996
3,Território Tiradentes,ChIJR9i3BCC5oQARWQ7KN32s8tc,4.8,5,Galeria de Arte,"R. da Camara, 103 - Tiradentes, MG, 36325-000, Brasil",+55 21 97002-7833,,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",galerias_arte,2025-07-29T06:04:16.149585,COMPLETA,-21.1092679,-44.1774582
4,GALERIA JB LAZZARINI,ChIJJ-86Y7C5oQARzBFtbb3BpVI,5,14,Galeria de Arte,"Av. Gov. Israel Pinheiro, 780 - Parque dos Bandeirantes, Tiradentes - MG, 36325-000, Brasil",+55 31 99833-8822,http://www.jblazzarini.com.br/,Fechado ⋅ Abre qua. às 09:00,"Tiradentes, MG",galerias_arte,2025-07-29T06:04:16.149585,COMPLETA,-21.1288903,-44.1707265
6,Badalo Studio Galeria,ChIJkZhl3nu_oQARM8YDxzHN_No,5,6,Galeria de Arte,"R. Alvarenga Peixoto, 1637 - Capote, Tiradentes - MG, 36325-000, Brasil",+55 32 99908-1268,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",galerias_arte,2025-07-29T06:04:16.149585,COMPLETA,-21.1035577,-44.153416
7,Ateliê Valin Branco,ChIJf8I9bFO_oQARqz_pV00wL54,4.9,15,Galeria de Arte,"R. dos Inconfidentes, 349 - Tiradentes, MG, 36325-000, Brasil",+55 32 99115-9613,,Fechado ⋅ Abre às 09:30,"Tiradentes, MG",galerias_arte,2025-07-29T06:04:16.149585,COMPLETA,-21.1110406,-44.1705233
8,Galería por Thi,ChIJWZy4TnO5oQARPRJboGAPX8c,,0,Galeria de Arte,"R. Direita, 266 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99178-8000,,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",galerias_arte,2025-07-29T06:04:16.149585,COMPLETA,-21.1106554,-44.1753636
2,KAYA TATTOO studio & escola,ChIJ7eTbXFO_oQARNu4o7G0NCmc,4.8,197,Estúdio de tatuagem e colocação de piercing,"R. Antônio Teixeira Carvalho, 148 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99940-5902,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",estudios_arte,2025-07-29T06:04:19.640539,COMPLETA,-21.112975,-44.168676999999995
3,LAUD,ChIJW2JnY6y4oQARoVChgcC2yLY,5,4,Estúdio de pintura,"CPF/CNPJ: 18.670.376/0001-79, R. Min. Gabriel Passos, 30 - store - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 98877-0002,,,"Tiradentes, MG",estudios_arte,2025-07-29T06:04:19.640539,COMPLETA,-21.1098648,-44.1746713
4,RM Cerâmica Artística,ChIJdXZDD1K_oQARIEE6fXHcvm0,5,17,Centro de arte,"R. Ver. Antônio Hipólito Nascimento, 128 - Cascalho, Tiradentes - MG, 36325-000, Brasil",+55 32 99829-1060,https://www.rmceramicaartistica.com.br/,Fechado ⋅ Abre às 10:00,"Tiradentes, MG",estudios_arte,2025-07-29T06:04:19.640539,COMPLETA,-21.1072915,-44.171059899999996
9,Traços de Época,ChIJszSJ9Ku4oQARaTHPP2O1ysg,3.7,10,Estúdio de fotografia,"R. Padre Toledo, 114 - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 3355-1875,,Temporarily closed,"Tiradentes, MG",estudios_arte,2025-07-29T06:04:19.640539,COMPLETA,-21.110591499999998,-44.1772874
10,Produção Nacional - Ateliê Vinícius Rosa Rios,ChIJCQicw1O_oQARWkzA1aB4QA4,4.8,10,Centro de arte,"R. Joaquim Ramalho, 164 - Tiradentes, MG, 36325-000, Brasil",+55 32 98877-1337,,Fechado ⋅ Abre às 08:00,"Tiradentes, MG",estudios_arte,2025-07-29T06:04:19.640539,COMPLETA,-21.1112735,-44.168040399999995
12,Estúdio Márcia silva,ChIJXb0wtJG_oQARsJQvYGfmfm8,5,42,Salão de Beleza,"R. Francisco Pereira Morais, 206 - Tiradentes, MG, 36325-000, Brasil",+55 21 98513-5585,,Fechado ⋅ Abre às 08:00,"Tiradentes, MG",estudios_arte,2025-07-29T06:04:19.640539,COMPLETA,-21.1095477,-44.168966
13,Origem das Artes,ChIJZQWQSlO5oQARN0IOEuVh1mA,,0,Designer de interiores,"R. Min. Gabriel Passos, 186A - Centro, Tiradentes - MG, 36325-000, Brasil",+55 32 99922-1363,,Fechado ⋅ Abre às 09:00,"Tiradentes, MG",estudios_arte,2025-07-29T06:04:19.640539,COMPLETA,-21.1091914,-44.175604799999995
